Name, Address, Failed inspection on, Alive for x years
THE WORKS OFF VAN BUREN,335 S FRANKLIN ST ,2011-04-05T00:00:00.000,4
THE GREAT STATE FARE,100 W RANDOLPH ST ,2011-04-05T00:00:00.000,4
THE DRUM & MONKEY,1435 W TAYLOR ST ,2011-04-13T00:00:00.000,9
EDIBLE ARRANGEMENTS,136 S DEARBORN ST ,2011-04-21T00:00:00.000,9
THIRD RAIL TAVERN,1133 W MADISON ST ,2011-04-22T00:00:00.000,7
ARGO TEA,16 W RANDOLPH ST ,2011-04-22T00:00:00.000,9
THE SILVERSMITH HOTEL & SUITES,10-16 S WABASH AVE ,2011-04-28T00:00:00.000,8
THE SILVERSMITH HOTEL & SUITES,10-16 S WABASH AVE ,2011-04-28T00:00:00.000,8
THE SILVERSMITH HOTEL & SUITES,10-16 S WABASH AVE ,2011-04-28T00:00:00.000,8
THE SILVERSMITH HOTEL & SUITES,10-16 S WABASH AVE ,2011-04-28T00:00:00.000,8
GATEWAY NEWS STANDS,233 N MICHIGAN AVE ,2011-04-28T00:00:00.000,-5
JAMBA JUICE,166 N STATE ST ,2011-05-03T00:00:00.000,4
JAMBA JUICE,190 W MADISON ST ,2011-05-03T00:00:00.000,4
SKINNIE PIGGY,1214 W TAYLOR ST ,2011-05-04T00:00:00.000,2
SUBWAY #51581,29 W LAKE ST ,2011-05-05T00:00:00.000,7
PAZZO'S CUCINA ITALIANA,23 E JACKSON BLVD BLDG ,2011-05-05T00:00:00.000,6
STARBUCKS COFFEE #2410,130 S CANAL ST ,2011-05-05T00:00:00.000,8
PAZZO'S CUCINA ITALIANA,23 E JACKSON BLVD BLDG ,2011-05-05T00:00:00.000,6
VENICE CAFE,233 S WACKER DR ,2011-05-06T00:00:00.000,7
ROSEBUD PRIME,1 S DEARBORN ST ,2011-05-12T00:00:00.000,9
ROSIE'S GRILL, INC,63 E HARRISON ST ,2011-05-17T00:00:00.000,7
BRASSERIE BY LM,800 S MICHIGAN AVE ,2011-05-19T00:00:00.000,6
THE SILVERSMITH HOTEL & SUITES,10-16 S WABASH AVE ,2011-05-19T00:00:00.000,8
BRASSERIE BY LM,800 S MICHIGAN AVE ,2011-05-19T00:00:00.000,6
BRASSERIE BY LM,800 S MICHIGAN AVE ,2011-05-19T00:00:00.000,6
MILLER'S PUB & RESTAURANT,134 S WABASH AVE ,2011-05-26T00:00:00.000,9
JAFFA BAKERY,105 W MADISON ST ,2011-05-27T00:00:00.000,1
